Country,Brand,Age,Age EOL,Repair status,Problem
ENG,Motorola,Unknown,Unknown,End of Life,Broken Screen
ENG,Samsung,Unknown,N/A,Repairable,Water Damage
ENG,Apple,Unknown,N/A,Repairable,Broken Screen
ENG,Apple,Unknown,N/A,Repairable,Broken Screen
ENG,Samsung,Unknown,N/A,Repairable,Broken Screen
ENG,Siemens,Unknown,N/A,Repairable,Broken Screen
ENG,Huawei,Unknown,N/A,Repairable,Broken Home Button
ENG,Siemens,Unknown,N/A,Repairable,Broken Screen
ENG,Sony,Unknown,N/A,Repairable,Broken Battery
ENG,Phillips,Unknown,Unknown,End of Life,Broken Home Button
ENG,Samsung,4,4,End of Life,Broken Screen
ENG,Apple,2,N/A,Repairable,Broken Charging Socket
ENG,Siemens,Unknown,N/A,Repairable,Broken Screen
ENG,Samsung,Unknown,N/A,Repairable,Broken Screen
ENG,Apple,Unknown,N/A,Repairable,Broken Screen
ENG,Sony,6,N/A,Repairable,Broken Screen
ENG,Samsung,Unknown,N/A,Repairable,Broken Screen
ENG,Huawei,Unknown,N/A,Repairable,Broken Screen
ENG,Motorola,Unknown,N/A,Repairable,Broken Home Button
ENG,Samsung,Unknown,N/A,Repairable,Broken Home Button
ENG,Apple,Unknown,N/A,Repairable,Broken Screen
ENG,Samsung,Unknown,N/A,Repairable,Broken Screen
ENG,Samsung,Unknown,Unknown,End of Life,Broken Screen
ENG,Wiko,Unknown,N/A,Repairable,Broken Screen
ENG,Sony,Unknown,N/A,Repairable,Broken Screen
ENG,Apple,Unknown,Unknown,End of Life,Broken Battery
ENG,Samsung,Unknown,N/A,Repairable,Broken Screen
ENG,Samsung,Unknown,N/A,Repairable,Broken Battery
ENG,Samsung,4,N/A,Repairable,Broken Screen
ENG,Fairphone,Unknown,N/A,Repairable,Broken Screen
ENG,Oukitel,Unknown,N/A,Repairable,Broken Screen
ENG,Fairphone,Unknown,Unknown,End of Life,Broken Screen
ENG,Motorola,Unknown,Unknown,End of Life,Broken Screen
ENG,Motorola,2,N/A,Repairable,Broken Screen
ENG,Motorola,Unknown,Unknown,End of Life,Broken Screen
ENG,BQ,2,N/A,Repairable,Broken Screen
ENG,Samsung,7,N/A,Repairable,Broken Screen
ENG,Nokia,Unknown,Unknown,End of Life,Defective Keyboard
ENG,Huawei,Unknown,N/A,Repairable,Water Damage
ENG,Samsung,Unknown,N/A,Repairable,Broken Screen
ENG,Samsung,Unknown,N/A,Repairable,Broken Screen
ENG,Sony,10,10,End of Life,Water Damage
ENG,Sony,10,10,End of Life,Water Damage
ENG,Apple,5,N/A,Repairable,Water Damage
ENG,ZTE,Unknown,N/A,Repairable,Water Damage
ENG,Apple,5,N/A,Repairable,Broken Screen
ENG,Apple,Unknown,N/A,Repairable,Water Damage
ENG,Motorola,6,6,End of Life,Water Damage
ENG,Samsung,Unknown,Unknown,End of Life,Broken Screen
ENG,Huawei,5,N/A,Repairable,Broken Screen
ENG,Huawei,Unknown,N/A,Repairable,Broken Screen
ENG,Apple,Unknown,Unknown,End of Life,Broken Screen
ENG,Wiko,Unknown,N/A,Repairable,Broken Screen
ENG,Fairphone,2,N/A,Repairable,Broken Screen
ENG,Samsung,4,N/A,Repairable,Broken Home Button
ENG,Xiaomi,Unknown,Unknown,End of Life,Broken Screen
ENG,Samsung,6,N/A,Repairable,Broken Screen
ENG,Sony,4,N/A,Repairable,Broken Screen
ENG,Huawei,Unknown,N/A,Repairable,Broken Screen
ENG,Apple,Unknown,Unknown,End of Life,Very Slow
ENG,Apple,Unknown,N/A,Repairable,Broken Screen
ENG,Wiko,Unknown,Unknown,End of Life,Full Memory
ENG,Samsung,Unknown,Unknown,End of Life,Broken Screen
ENG,Huawei,Unknown,N/A,Repairable,Broken Screen
ENG,Siemens,Unknown,N/A,Repairable,Broken Battery
ENG,Samsung,Unknown,Unknown,End of Life,Broken Screen
ENG,Huawei,Unknown,N/A,Repairable,Broken Screen
ENG,Samsung,3,N/A,Repairable,Broken Screen
ENG,Huawei,3,N/A,Repairable,Broken Screen
ENG,Samsung,10,N/A,Repairable,Broken Charging Socket
ENG,Apple,Unknown,N/A,Repairable,Broken Home Button
ENG,Apple,3,N/A,Repairable,Broken Home Button
ENG,Xiaomi,4,N/A,Repairable,Broken Screen
ENG,Samsung,9,N/A,Repairable,Broken Screen
ENG,Nokia,5,5,End of Life,Broken Screen
ENG,Honor,4,N/A,Repairable,Broken Screen
ENG,Huawei,Unknown,N/A,Repairable,Broken Screen
ENG,Xiaomi,2,N/A,Repairable,Broken Screen
ENG,Samsung,6,N/A,Repairable,Broken Screen
ENG,Samsung,3,N/A,Repairable,Broken Screen
ENG,Samsung,4,4,End of Life,Faulty Software
ENG,Huawei,Unknown,N/A,Repairable,Broken Screen
ENG,Sony,Unknown,Unknown,End of Life,Broken Screen
ENG,Oukitel,Unknown,N/A,Repairable,Faulty Software
ENG,OnePlus,Unknown,Unknown,End of Life,Water Damage
ENG,Huawei,4,N/A,Repairable,Broken Battery
ENG,ZTE,1,N/A,Repairable,Very Slow
ENG,Huawei,5,N/A,Repairable,Faulty Software
ENG,Sony,7,7,End of Life,Broken Screen
ENG,Huawei,3,N/A,Repairable,Broken Battery
ENG,Huawei,3,N/A,Repairable,Water Damage
ENG,Apple,6,N/A,Repairable,Broken Screen
ENG,LG,4,N/A,Repairable,Broken Charging Socket
ENG,Samsung,7,N/A,Repairable,Defective Keyboard
ENG,Siemens,6,N/A,Repairable,Defective Keyboard
ENG,Apple,5,N/A,Repairable,Broken Screen
ENG,Samsung,6,6,End of Life,Broken Screen
ENG,Apple,Unknown,N/A,Repairable,Broken Battery
ENG,Apple,7,N/A,Repairable,Broken Screen
ENG,Oukitel,5,5,End of Life,Broken Screen
FRA,Samsung,Unknown,Unknown,End of Life,Faulty Software
GBR,Apple,Unknown,Unknown,End of Life,Water Damage
ENG,HTC,5,N/A,Repairable,Faulty Software
GBR,Samsung,Unknown,Unknown,End of Life,Broken Screen
FRA,Honor,5,N/A,Repairable,Broken Home Button
FRA,Samsung,Unknown,N/A,Repairable,Faulty Software
ESP,Samsung,5,N/A,Repairable,Fully Destroyed/Burned
FRA,Samsung,Unknown,N/A,Repairable,Broken Screen
GBR,Samsung,3,N/A,Repairable,Water Damage
GBR,Apple,Unknown,N/A,Repairable,Broken Screen
GBR,Honor,3,N/A,Repairable,Broken Screen
GBR,Sony,8,N/A,Repairable,Broken Battery
FRA,Samsung,Unknown,N/A,Repairable,Charging Issues
NLD,Apple,Unknown,N/A,Repairable,Broken Screen
NLD,Apple,6,6,End of Life,Broken Screen
NLD,Nokia,5,N/A,Repairable,Broken Home Button
NLD,Wiko,0,0,End of Life,Charging Issues
NLD,Motorola,5,N/A,Repairable,Broken Screen
NLD,Apple,3,N/A,Repairable,Not recognized SIM card
GBR,Alcatel,7,N/A,Repairable,Very Slow
FRA,Apple,Unknown,N/A,Repairable,Broken Screen
GBR,Apple,1,N/A,Repairable,Broken Screen
NLD,Wiko,Unknown,Unknown,End of Life,Broken Screen
GBR,Alcatel,Unknown,N/A,Repairable,Broken Screen
FRA,Samsung,Unknown,Unknown,End of Life,Broken Home Button
NLD,Samsung,5,N/A,Repairable,Broken Camera
FRA,Apple,10,10,End of Life,Very Slow
FRA,Samsung,6,6,End of Life,Broken Screen
FRA,Apple,Unknown,N/A,Repairable,Broken Screen
NLD,Apple,Unknown,Unknown,End of Life,Broken Screen
FRA,Wiko,Unknown,Unknown,End of Life,Full Memory
FRA,Huawei,2,2,End of Life,Broken Screen
FRA,Samsung,Unknown,Unknown,End of Life,Broken Battery
NLD,Samsung,5,N/A,Repairable,Broken Camera
ESP,Samsung,6,6,End of Life,Water Damage
ESP,Xiaomi,Unknown,Unknown,End of Life,Faulty Software
ESP,Samsung,8,N/A,Repairable,Water Damage
FRA,Nokia,Unknown,Unknown,End of Life,Faulty Software
GBR,Apple,6,N/A,Repairable,Broken Screen
NLD,Apple,Unknown,N/A,Repairable,Charging Issues
NLD,Samsung,5,N/A,Repairable,Broken Battery
NLD,Huawei,Unknown,Unknown,End of Life,Very Slow
GBR,Apple,Unknown,Unknown,End of Life,Broken Screen
NLD,Alcatel,8,8,End of Life,Broken Screen
FRA,Samsung,5,5,End of Life,Faulty Software
NLD,Huawei,3,N/A,Repairable,Broken Screen
GBR,Sony,Unknown,Unknown,End of Life,Broken Screen
FRA,Nokia,Unknown,N/A,Repairable,Defective Keyboard
NLD,Samsung,5,5,End of Life,Charging Issues
NLD,Samsung,Unknown,N/A,Repairable,Broken Camera
FRA,Samsung,Unknown,Unknown,End of Life,Broken Home Button
NLD,Apple,Unknown,Unknown,End of Life,Broken Home Button
NLD,Fairphone,Unknown,Unknown,End of Life,Water Damage
GBR,Samsung,Unknown,N/A,Repairable,Broken Screen
FRA,Nokia,Unknown,N/A,Repairable,Faulty Software
FRA,Apple,Unknown,N/A,Repairable,Broken Home Button
NLD,Apple,4,4,End of Life,Not recognized SIM card
NLD,Samsung,Unknown,Unknown,End of Life,Broken Screen
NLD,Samsung,Unknown,Unknown,End of Life,Broken Battery
NLD,Huawei,5,5,End of Life,Broken Battery
GBR,Huawei,1,N/A,Repairable,Broken Screen
GBR,Samsung,Unknown,N/A,Repairable,Broken Screen
GBR,Samsung,Unknown,N/A,Repairable,Broken Camera
GBR,Samsung,Unknown,Unknown,End of Life,Faulty Software
GBR,Samsung,Unknown,N/A,Repairable,Charging Issues
NLD,Apple,Unknown,Unknown,End of Life,Broken Home Button
ENG,Samsung,Unknown,Unknown,End of Life,Faulty Software
NLD,Apple,Unknown,Unknown,End of Life,Broken Screen
ENG,Samsung,Unknown,Unknown,End of Life,Broken Screen
NLD,Samsung,4,N/A,Repairable,Broken Screen
NLD,Apple,5,5,End of Life,Broken Screen
NLD,Apple,3,3,End of Life,Defective Keyboard
GBR,Motorola,Unknown,Unknown,End of Life,Broken Battery
NLD,Apple,4,N/A,Repairable,Broken Battery
NLD,Samsung,Unknown,Unknown,End of Life,Broken Screen
FRA,Samsung,Unknown,Unknown,End of Life,Broken Screen
GBR,Motorola,Unknown,N/A,Repairable,Broken Screen
NLD,Huawei,3,3,End of Life,Broken Screen
NLD,LG,9,9,End of Life,Broken Screen
NLD,Nokia,Unknown,Unknown,End of Life,Broken Screen
GBR,Apple,4,N/A,Repairable,Broken Screen
NLD,Samsung,Unknown,N/A,Repairable,Broken Camera
GBR,Apple,Unknown,N/A,Repairable,Broken Screen
GBR,Nokia,Unknown,Unknown,End of Life,Not recognized SIM card
GBR,Nokia,Unknown,Unknown,End of Life,Broken Screen
GBR,Motorola,1,N/A,Repairable,Broken Screen
ENG,Huawei,Unknown,Unknown,End of Life,Water Damage
NLD,Apple,Unknown,N/A,Repairable,Broken Screen
NLD,Samsung,1,1,End of Life,Faulty Software
NLD,Samsung,Unknown,N/A,Repairable,Broken Home Button
NLD,Samsung,4,4,End of Life,Broken Battery
NLD,Samsung,3,3,End of Life,Broken Home Button
NLD,Huawei,8,8,End of Life,Broken Screen
NLD,Alcatel,9,9,End of Life,Charging Issues
NLD,Samsung,Unknown,Unknown,End of Life,Broken Screen
GBR,Apple,Unknown,N/A,Repairable,Broken Charging Socket
GBR,Apple,Unknown,N/A,Repairable,Broken Charging Socket
NLD,Apple,3,N/A,Repairable,Broken Battery
NLD,Samsung,2,N/A,Repairable,Broken Screen
NLD,Samsung,Unknown,N/A,Repairable,Broken Screen
NLD,LG,Unknown,N/A,Repairable,Not recognized SIM card
NLD,Fairphone,3,3,End of Life,Broken Camera
NLD,Samsung,Unknown,N/A,Repairable,Charging Issues
NLD,Samsung,Unknown,N/A,Repairable,Broken Screen
NLD,Motorola,1,N/A,Repairable,Defective Keyboard
NLD,Samsung,Unknown,N/A,Repairable,Broken Screen
NLD,HTC,Unknown,N/A,Repairable,Broken Screen
NLD,Apple,0,0,End of Life,Over Heating
GBR,Samsung,Unknown,Unknown,End of Life,Broken Screen
NLD,Apple,Unknown,N/A,Repairable,Defective Keyboard
NLD,Apple,Unknown,N/A,Repairable,Broken Screen
NLD,Samsung,Unknown,Unknown,End of Life,Broken Screen
NLD,Apple,5,N/A,Repairable,Fully Destroyed/Burned
GBR,Sony,3,N/A,Repairable,Broken Screen
NLD,Samsung,Unknown,N/A,Repairable,Broken Screen
NLD,Huawei,3,N/A,Repairable,Water Damage
NLD,Samsung,1,1,End of Life,Broken Screen
NLD,Samsung,4,N/A,Repairable,Broken Camera
NLD,Nokia,Unknown,N/A,Repairable,Broken Screen
